Ссылка,Название,Цена,Инструкция по применению,Состав,упаковка,Описание
https://smorodinacosmetic.com/catalog/novinki/krem-flyuid-dlya-kozhi-vokrug-glaz-c-lizatami-bifida-i-kofeinom-dlya-umensheniya-otyechnosti-new/,Крем-флюид для кожи вокруг глаз c лизатами Bifida и кофеином для уменьшения отёчности,1490,применение Нанести крем на тщательно очищенную кожу вокруг глаз мягкими вбивающими движениями. Результат от крема накопительный. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.,"активные ингредиенты Ключевые ингредиенты Экстракт фукуса Гидролат Василька Экстракт листьев гинкго билоба Лизаты бифидобактерий (Bifidobacterium bifidum) Кофеин Полный состав Состав/INCI: Aqua, Centaurea Cyanus (Cornflower) Flower Water (гидролат василька), Oenothera Biennis Seed Oil (масло примулы вечерней), Oryza Sativa Oil (масло рисовых отрубей), Dicaprylyl Carbonat (эмолент на основе кокосового масла), Glycerin (растительный глицерин), Caprylic/Capric Triglyceride (эмолент), Argania Spinosa Seed Oil (масло арганы), Bifida Ferment Lysate (лизаты бифидобактерий), Lactobacillus Ferment Lysate (лизаты лактобактерий), Butyrospermum Parkii Oil (масло ши), Cetearyl Olivate, Sorbitan Olivate (растительный эмульгатор), Fucus Vesiculosus Extract (экстракт фукуса), Caffeine (кофеин), Centaurea Cyanus Flower Extract (экстракт цветков василька), Coffea Arabica Seed Extract (экстракт зелёного кофе), Cannabis Sativa Extract (экстракт семян конопли), Ginkgo Biloba Extract (экстракт гинкго билоба), Cetearyl Alcohol (регулятор густоты для натуральных эмульсий), Xanthan Gum (гелеобразователь), Citrus Aurantium Dulcis (Orange) Oil (эфирное масло апельсина), Lemongrass (Cymbopogon citratus) Essential Oil (эфирное масло лемограсса), Dehydroacetic Acid, Benzyl Alcohol (консервант для натуральной косметики).","упаковка стекло GL 70 дозатор-спрей PP 05 твердый + FE 40 пленка PP 05 крышка PP 05 твердый Как подготовить стеклянную тару, пластиковый дозатор-спрей, крышку и прозрачную пленку к сдаче на переработку Стеклянная тара соответствует принципам устойчивого развития Reuse & Recycle: ее можно сдать на переработку. Начни путь осознанного потребления со SMORODINA!","описание продукта Стресс и современная экология негативно влияют на баланс микробиоты кожи лица, что может привести к преждевременному появлению морщин и отечности в зоне вокруг глаз. Как и за счет чего работает: ПОДТЯГИВАЕТ КОЖУ: лизаты лактобактерий  увлажняют кожу и повышает ее тонус, стимулирует выработку коллагена, предотвращает отечность и восстанавливает иммунитет клеток. НОРМАЛИЗУЕТ МИКРОБИОМ КОЖИ: лизаты бифидобактерий способствуют восстановлению здорового микробиома кожи вокруг глаз, благодаря чему защитный барьер становится сильнее, а внешние факторы вредят коже меньше.  Процессы регенерации ускоряются, зона вокруг глаз становится увлажнённой, плотной и упругой, разглаживаются морщинки. ТОНИЗИРУЕТ И УБИРАЕТ ОТЁКИ: кофеин оказывает тонизирующий эффект, уменьшает отёчность, осветляет тёмные круги, восстанавливает естественный липидный слой и делает нежную кожу визуально более подтянутой и молодой. УБИРАЕТ МЕШКИ ПОД ГЛАЗАМИ: экстракт фукуса выводит токсины, подтягивает и смягчает кожу, убирает мешки под глазами и избавляет от следов усталости. РАЗГЛАЖИВАЕТ МОРЩИНКИ: экстракт гинкго билоба, благодаря большому количеству антиоксидантов, способствует устранению морщин, повышает упругость и выравнивает тон кожи. При регулярном применении крем оказывает выраженный омолаживающий эффект: стимулирует синтез коллагена и эластина, разглаживает морщины и предотвращает их появление, эффективно восстанавливает иммунитет клеток, усиливает способность кожи к регенерации, придает свежесть и здоровое сияние. Крем-флюид «Bifida lysate» станет отличным дополнением к серии ухода за лицом от SMORODINA «Microbiome». ВНИМАНИЕ! Продукт упакован в экологичную стеклянную бутылку без дополнительной упаковки. Поддерживая нашу философию экологичности, мы помогаем сохранить более 1000 деревьев в год! Срок годности: 24 месяца Срок годности после вскрытия: 8 месяцев"
https://smorodinacosmetic.com/catalog/hair-care/aromaraschesyvanie/nabor-greben-dlya-aromaraschesyvaniya-i-3-masla-/,Набор Гребень для аромарасчесывания + 3 масляных сыворотки,1990,"применение Нанесите 2-3 капли масла на основание гребня, равномерно распределите. Уделите время себе и медитации расчесывания в течение 5-10 минут. Прослушать медитацию для аромарасчесывания можете на нашем Ютуб канале по ссылке: https://www.youtube.com/watch?v=M5ThnqM9D0c Продукт содержит концентрированные эфирные масла. Избегать попадания на кожу. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.","активные ингредиенты Полный состав Набор состоит из: деревянного гребня из карельской березы, масляной сыворотки Love 10мл, масляной сыворотки Calm 10мл, масляной сыворотки Energy 10мл.",,"описание продукта Аромарасчесывание – это способ расчесывания волос деревянным гребнем с использованием натуральных эфирных масел.  Несмываемая и очень эффективная процедура для волос с ароматерапевтическим эффектом. Мы искренне прониклись темой медитации с использованием эфирных масел и создали ритуал для корректировки твоего эмоционального состояния через волосы! Регулярное выполнение данной процедуры питает, увлажняет и смягчает волосы. Придает блеск и упругость. Для твоего настроения мы собрали в наборе 3 композиции эфирных масел: Love - аромат любви, нежности и расслабления. Пробуждает женскую энергию и желание наслаждаться собой и миром. Используй его утром или вечером, когда не хватает женского ресурса. Calm - аромат гармонии, принятия и снятия усталости. Способствует здоровому сну. Используй его на ночь, чтобы расслабиться и слаще уснуть. Energy - аромат бодрости и позитивного настроения. Пробуждает спящую энергию и поднимает настроение. Используй его утром, когда необходима настройка на продуктивный день. Превратить обычное расчёсывание в особый ритуал можно, нанеся на основание гребня 1-3 капли ароматного ухаживающего масла. Во время процесса освободите голову от беспокойных мыслей, представьте себе намерение, которое хотите реализовать: избавиться от негатива, пробудить чувственность, зарядиться энергией или подготовиться ко сну. Уделите 5-10 минут медитации — поприветствуйте самого прекрасного человека - себя, спросите, как у него дела, что его сейчас беспокоит. Поблагодарите своё тело и почувствуйте, как оно реагирует в ответ. Возвращайтесь к созданному состоянию в течение дня, если вам необходима опора. Прослушать медитацию для аромарасчесывания можете на нашем Ютуб канале по ссылке: https://www.youtube.com/watch?v=1MgIIEH7WEw Приятного свидания с собой! Срок годности: 24 месяца Срок годности после вскрытия: 12 месяцев"
https://smorodinacosmetic.com/catalog/hair-care/konditsionery/vosstanavlivayushchiy-konditsioner-dlya-povrezhdyennykh-i-okrashennykh-volos/,Восстанавливающий кондиционер для повреждённых и окрашенных волос,1390,применение Равномерно распределите на мокрые волосы по всей длине. Оставьте на 2-5 минут. Смойте тёплой водой. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.,"активные ингредиенты Ключевые ингредиенты Олигопептиды миндаля Масло брокколи Экстракт пальмарии Гидролизованные протеины кукурузы, пшеницы, сои Полный состав Состав/INCI: Aqua*, Distearoylethyl Dimonium Chloride (and) Cetearyl Alcohol**, Water (and) Palmaria Palmata Extract (and) Glycerin Vegetable* (экстракт пальмарии), Hydrolyzed Corn Protein* (and) Hydrolyzed Wheat Protein* (and) Hydrolyzed Soy Protein* (гидролизованные протеины кукурузы, пшеницы, сои), Hydrolyzed Sweet Almond Seedcake*(олигопептиды миндаля), Aloe Barbadensis Leaf Juice*(сок алоэ), Brassica Oleracea Italica (Broccoli) Seed Oil*, Guar Hydroxypropyltrimonium Chloride** (катионный гуар) , Citrus Aurantium Bergamia Oil* (эфирное масло бергамота), Citrus Aurantifolia (Lime) Seed Oil* (эфирное масло лайма), Tocopheryl Acetate* (витамин Е), Lactic Acid*(молочная кислота), Water (and) Dehydroacetic Acid (and) Benzyl Alcohol** (зеленый консервант).

 * — ингредиенты, разрешённые для использования в натуральной косметике, ** — сертифицировано по международному стандарту натуральной и органической косметики.","упаковка алюминий ALU 41 этикетка PP 05 дозатор-спрей PP 05 твердый + FE 40 Как подготовить алюминиевую тару и пластиковый дозатор-спрей к сдаче на переработку Алюминиевая упаковка соответствует принципам устойчивого развития Reuse&Recycle: ее можно сдать на переработку, а также использовать повторно! Например, она может стать подсвечником или вазой для цветочной веточки. Прояви креатив и поддержи программу #ReuseRevolushion. Начни путь осознанного потребления со SMORODINA!","описание продукта ПОБЕДИТЕЛЬ GREEN VALLEY AWARDS 2023 В НОМИНАЦИИ ""ЛУЧШИЙ НАТУРАЛЬНЫЙ УХОД ЗА ВОЛОСАМИ"" Идеальное решение для нормальных, тусклых, сухих, окрашенных и секущихся волос. Высокая концентрация натуральных активных компонентов, делает уход профессиональным и бережным. В основе формулы уникальный веганский ингредиент, который обладает свойствами, аналогичными животному белку кератину и доказано восстанавливает поврежденные локоны — комплекс растительных протеинов сои, кукурузы, пшеницы. Кондиционер нежно ухаживает за волосами: восстанавливает структуру каждого поврежденного волоска, питает и наполняет локоны жизненной силой. Олигопептиды миндаля активно питают сухие кончики и укрепляют локоны по всей длине. Масло брокколи разглаживает и дисциплинирует пряди, устраняя излишнюю пушистость. Экстракт пальмарии действует как мощный антиоксидант, который защищает окрашенные волосы от воздействия солнечных лучей, потери цвета и действия свободных радикалов. При регулярном применении волосы наполняются влагой, приобретают красивый блеск и здоровое сияние. Гладкие, упругие и послушные локоны дольше радуют насыщенным цветом, словно вы только что из салона! Идеально использовать совместно с восстанавливающим шампунем для повреждённых и окрашенных волос от SMORODINA. Прояви креатив и поддержи программу #ReuseRevolution вместе со SMORODINA К каждому кондиционеру мы вкладываем алюминиевую крышечку, чтобы вы могли повторно использовать бутылочку. Срок годности: 24 месяца Срок годности после вскрытия: 8 месяцев"
https://smorodinacosmetic.com/catalog/face/serum/uspokaivayushchaya-syvorotka-dlya-chuvstvitelnoy-kozhi-/,Успокаивающая сыворотка для чувствительной кожи ,1990,применение Наносите сыворотку утром и вечером на очищенную кожу лица и шеи. Для усиленного успокаивающего эффекта можно использовать сыворотку в сочетании с другими продуктами линейки Sensitive от SMORODINA. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.,"активные ингредиенты Ключевые ингредиенты NIO-KIOL (противовоспалительный комплекс) Borealine® Expert (экстракт коры красного клена) Sensiline BIO (гидролизированный экстракт льна) Полный состав Состав/INCI: Aqua, Coco-Caprylate (натуральный эмолент), Salix Alba (Willow) Bark Extract (экстракт ивовой коры), Magnolol/Honokiol (экстракт магнолола и хонокиола), Cannabis Sativa Seed Oil (масло конопляное), Hydrolyzed Linseed Extract (гидролизованный экстракт льняного семени), Pentylene Glycol*, (пентиленгликоль на растительной основе), Polyglyceryl-10 Oleate, Apricot Kernel Oil, Polyglyceryl-6 Esters, Acer Rubrum Extract (экстракт коры красного клена), Sorbitan Palmitate, Xanthan Gum, Sodium Stearoyl Lactylate, Tapioca Starch, Algin (натуральный загуститель), Glycerin (растительный глицерин), Вenzyl alcohol, Dehydroacetic Acid (консервант для натуральной косметики). * - vegetable-based. *- ингредиенты, разрешенные для использования в натуральной косметике.","упаковка стекло GL 70 пипетка GL 70 крышка PP 05 пластиковая вставка PP 05 Как подготовить стеклянную тару, крышку с пипеткой и пластиковую вставку к сдаче на переработку Стеклянная тара соответствует принципам устойчивого развития Reuse & Recycle: их можно сдать на переработку. Начни путь осознанного потребления со SMORODINA!","описание продукта Сыворотка обладает высокой переносимостью, повышает увлажнённость на 63,8%, устраняет покраснения и раздражение на 48,3%, снижает чувствительность кожи на 18,6%*, что способствует восстановлению её защитного барьера. Чувствительная кожа остро реагирует на внешние раздражители: перепады температур, сухой воздух, загрязнения. Ослабленный барьер делает её уязвимой, вызывая покраснения и дискомфорт. Чтобы вернуть коже комфорт, важно снизить её реактивность, укрепить защитные функции и обеспечить увлажнение Ключевые активы и их действие: Магнолол и хонокиол — биоактивные компоненты из коры магнолии с мощными противовоспалительными и антиоксидантными свойствами. В составе комплекса NIO-KIOL они укрепляют барьерные функции кожи, уменьшают покраснения и воспаления, защищают от свободных радикалов. Клинические исследования показали: за 28 дней применения целостность кожного барьера увеличивается на 11%, увлажнённость кожи — на 37%, а интенсивность покраснений снижается на 37%. Sensiline BIO — актив, специально разработанный для ухода за чувствительной кожей. Содержит очищенные фракции семян льна, богатые кислыми полисахаридами и пептидогликанами, которые образуют на поверхности кожи тонкую защитную пленку, а также действует как «ловушка» для интерлейкина-1альфа (IL-1α), ключевого провоспалительного медиатора. По результатам исследований, за 8 дней применения актива, реактивность кожи уменьшается на 35%. Borealine® Expert (экстракт коры красного клена) — активный компонент, который подавляет провоспалительные цитокины и ферменты, снижая воспаление в коже. По данным исследований, за 28 дней применения Borealine® Expert улучшает упругость кожи на 13%, а эластичность — на 36%. А также уменьшает покраснение и раздражение, помогая поддерживать её нормальное состояние и минимизируя проявления воспалений. При регулярном применении сыворотка делает кожу увлажненной, ровной, мягкой и гладкой, устраняет ощущение стянутости и дискомфорта. * Отчет №DR080041 от 04.03.2025, Медицинский научно-диагностический центр ООО ""Научно-практический центр по экспортной оценке качества и безопасности продуктов питания и косметики ""КосмоПродТест"" Клинически доказано: сыворотка снижает покраснения и раздражение на 48,3% Основные результаты за 4 недели: - увлажнение кожи: + 63,8% - снижение эритемы: - 48,3% - уменьшение покраснений (мексаметрия): - 18,6 % (успокаивающий эффект) Заключение: сыворотка хорошо переносится, эффективно успокаивает кожу, уменьшает покраснения и раздражение при применении утром и вечером в течение 4 недель. ВНИМАНИЕ! Сыворотка упакована во флакон из усиленного стекла без коробки (программа категоричного отказа от вторичной упаковки помогает нашему бренду не производить картонных отходов эквивалентно 1000 живым деревьям в год)! Срок годности: 24 месяца Срок годности после вскрытия: 8 месяцев"
https://smorodinacosmetic.com/catalog/face/patchi/keys-dlya-khraneniya-patchey-deep-hydration/,Кейс для хранения патчей голубой,390,,,"упаковка кейс ALU 41 этикетка PP 05 калька Как подготовить алюминиевую тару и кальку к сдаче на переработку Алюминиевая упаковка соответствует принципам устойчивого развития Reuse & Recycle: ее можно сдать на переработку, а также использовать повторно! Начни путь осознанного потребления со SMORODINA!","описание продукта Кейс предназначен для удобной сушки и хранения конопляных патчей SMORODINA. Кейсы отличаются только цветом этикетки, чтобы вы могли собрать красивый комплект. Плюс и экологичность наших патчей заключается в том, что составляющие набора можно приобрести отдельно :) Рекомендуем на 1 флакон геля 30 мл использовать 4 конопляных вырезки. Также вы можете приобрести готовые наборы патчей SMORODINA, в которые входят гель, кейс и внутри кейса вырезки (4 шт). Внимание! Данный товар не содержит конопляные патчи-вырезки внутри кейса. Для сушки конопляных вырезок рекомендуем использовать внутреннюю крышку кейса, которая имеет особую этикетку с пометкой."
https://smorodinacosmetic.com/catalog/hair-care/shampuni/uvlazhnyayushchiy-shampun-dlya-vsekh-tipov-volos/,Увлажняющий шампунь для всех типов волос,990,"применение Нанесите на влажную кожу головы, вспеньте массажными движениями. Смойте тёплой водой, распределив пену по длине. При необходимости повторите. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.","активные ингредиенты Ключевые ингредиенты Активный компонент Cuticlex Экстракт бурых водорослей Протеины киноа Полный состав Состав/INCI: Aqua*, Sodium Methyl Cocoyl Taurate* (аминокислотный ПАВ), Decyl Glucoside*, Cocamidopropyl Betaine*, Glycerin Vegetable*, Polyglyceryl-4 Caprate (and) Polyglyceryl-3 Ricinoleate** (Cuticlex), Hydrolyzed Quinoa* (Гидролизованные протеины киноа), Maltodextrin (and) Biosaccharide gum-1* (увлажняющий полисахарид из бурых водорослей), Aloe Barbadensis Leaf Juice* (Сок алоэ), Guar Hydroxypropyltrimonium Chloride** (катионный гуар), Cymbopogon Citratus Oil* (эфирное масло лемонграсса), Eucalyptus Essential Oil*(эфирное масло эвкалипта) , Lactic Acid* (молочная кислота), Dehydroacetic Acid* (And) Benzyl Alcohol* (зеленый консервант). * — ингредиенты, разрешённые для использования в натуральной косметике.
	 ** — сертифицировано по международному стандарту натуральной и органической косметики.","упаковка алюминий ALU 41 этикетка PP 05 дозатор-спрей PP 05 твердый + FE 40 Как подготовить алюминиевую тару и пластиковый дозатор-спрей к сдаче на переработку Алюминиевая упаковка соответствует принципам устойчивого развития Reuse&Recycle: ее можно сдать на переработку, а также использовать повторно! Например, она может стать подсвечником или вазой для цветочной веточки. Прояви креатив и поддержи программу #ReuseRevolushion. Начни путь осознанного потребления со SMORODINA!","описание продукта Натуральный состав быстро вспенивается в густую нежную консистенцию, отлично очищает и обеспечивает долговременное увлажнение волос, делая их мягкими, гладкими и послушными. Подходит для всех типов волос, в том числе сухих и обезвоженных. Деликатная моющая основа из комплекса натуральных мягких ПАВ (поверхностно-активных веществ) из кокоса бережно очищает кожу головы и волосы, питает и нормализует гидролипидный баланс, обеспечивая ощущение максимальной свежести и чистоты. Входящие в состав протеины киноа содержат 17 аминокислот, которые глубоко проникают в структуру волоса, питают от корней до самых кончиков, устраняют ломкость и облегчают расчёсывание. Активный компонент Cuticlex (одобрен Cosmos) укрепляет стержень и защищает его от неблагоприятных внешних воздействий. Защищает от повреждений при использовании фена и от воздействия UV лучей. Экстракт фукуса (полисахариды из бурых водорослей) глубоко увлажняет волосы, делая их необыкновенно мягкими и блестящими. При регулярном использовании волосы приобретают эластичность, мягкость, шелковистость и бриллиантовый блеск. Для достижения лучшего результата, рекомендуем использовать в паре с увлажняющим кондиционером для всех типов волос от SMORODINA. Прояви креатив и поддержи программу #ReuseRevolution вместе со SMORODINA К каждому шампуню мы вкладываем алюминиевую крышечку, чтобы вы могли повторно использовать бутылочку. Срок годности: 24 месяца Срок годности после вскрытия: 8 месяцев"
https://smorodinacosmetic.com/catalog/face/cream/krem-dlya-problemnoy-i-zhirnoy-kozhi-litsa-anti-acne/,Крем-флюид «Anti-Acne» для проблемной и жирной кожи ,1490,применение Нанести крем на тщательно очищенную кожу по массажным линиям (1-2 нажатия дозатора). Наилучшее впитывание происходит после глубокого очищения кожи с помощью энзимного умывания или скраба-пудры SMORODINA . Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.,"активные ингредиенты Ключевые ингредиенты Гидролат календулы Активный компонент Zn PCA (цинковая соль пирролидон-карбоновой кислоты) Экстракт мать-и-мачехи Эфирное масло чайного дерева Полный состав Состав/INCI: Aqua, Calendula Officinalis Flower Water (гидролат календулы), Dicaprylyl Carbonate (эмолент на основе кокосового масла), Cannabis Sativa Seed Oil (масло конопли), Cocos Nucifera Oil (масло кокоса), Oenothera Biennis Oil (масло примулы вечерней), Glycerin (глицерин растительный), Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Zinc PCA (цинковая соль пирролидон-карбоновой кислоты), Trifolium Rubens Extract (экстракт клевера), Ocimum Basilicum Extract (экстракт базилика), Tussilago Farfara Extract (экстракт мать-и-мачехи), Chelidonium Majus Extract (экстракт чистотела), Maltodextrin, Punica Granatum Pericarp Extract (экстракт граната), Boswellia Carterii Extract (экстракт босвелии), Taurine (таурин), Trehalose (трегалоза), Xanthan Gum (натуральный загуститель), Dehydroacetic Acid, Benzyl Alcohol (консервант для натуральной косметики), Melaleuca Alternifolia (Tea Tree) Essential Oil (эфирное масло чайного дерева), Lavandula Angustifolia Oil (эфирное масло лаванды), Cymbopogon Citratus Essential Oil (эфирное маcло лемограсса).","упаковка стекло GL 70 дозатор-спрей PP 05 твердый + FE 40 пленка PP 05 крышка PP 05 твердый Как подготовить стеклянную тару, пластиковый дозатор-спрей, крышку и прозрачную пленку к сдаче на переработку Стеклянная тара соответствует принципам устойчивого развития Reuse & Recycle: ее можно сдать на переработку. Начни путь осознанного потребления со SMORODINA!","описание продукта Себорегулирующий крем-флюид “Anti-acne” клинически доказана эффективность противовоспалительного действия и сокращения расширенных пор на 74%* Нормализует выработку себума, уменьшает воспаления, и сдерживает рост бактерий, которые являются причиной формирования угрей и комедонов. Как и за счет чего работают натуральные ингредиенты: УСПОКАИВАЕТ КОЖУ: Гидролат календулы оказывает противомикробное и заживляющее действие, снимает раздражение и покраснение, устраняет зуд. Экстракт босвелии устраняет сухость, возвращает коже упругость, улучшает цвет лица, успокаивает и укрепляет кожу, способствует уменьшению морщин СНИЖАЕТ ВЫРАБОТКУ СЕБУМА: Цинковая соль пирролидон карбоновой кислоты (Zinc PCA) нормализует работу сальных желез, снижая количество кожного сала, укрепляет естественный иммунитет кожи. СОКРАЩАЕТ ВОСПАЛЕНИЯ: Экстракт граната (Acnesium®) улучшает состояние кожи с акне, снижает активность сальных желез, уменьшает действующие воспаления и предотвращает появление новых. БОРЕТСЯ С БАКТЕРИЯМИ: Эфирное масло чайного дерева уменьшает покраснение и раздражение, очищает кожу и борется с бактериями, вызывающими акне. Экстракт мать-и-мачехи смягчает воспаленную кожу, обладает хорошим антисептическим, противовоспалительным и подсушивающим действием. ИМЕЕТ ФЛЮИДНУЮ КОНСИСТЕНЦИЮ, легко распределяется и быстро впитывается. При регулярном применении крема, уменьшается количество активных воспалений, кожа становится более ровная, однородная, гладкая, обретает красивое сияние. Для лучшего противовоспалительного эффекта рекомендуем использовать в комплексе с другими средствами серии“Anti-acne” от SMORODINA, где каждый этап ухода дополняет и усиливает друг друга, делая вашу кожу идеально чистой и здоровой. Мы используем высококачественные натуральные ингредиенты для получения эффективных формул и активы без тестов на животных. ВНИМАНИЕ! Крем упакован во флакон из усиленного стекла без коробки (программа категоричного отказа от вторичной упаковки помогает нашему бренду не производить картонных отходов эквивалентно 1000 живым деревьям в год)! *Клинически подтверждено исследованиями ФБУ РОСТЕСТ-МОСКВА Срок годности: 24 месяца Срок годности после вскрытия: 8 месяцев"
https://smorodinacosmetic.com/catalog/face/enzyme-system/tverdoe-umyvanie-dlya-litsa-s-pudroy-risa-i-prebiotikami/,Твердое молочко для очищения лица с пудрой риса и пребиотиками,990,"применение Смочите средство для умывания теплой водой, размыльте в руках и очистите лицо массажными движениями. Смойте достаточным количеством воды. Рекомендуется использовать с последующими этапами ухода для лица SMORODINA. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С, хранить в сухом месте, избегать попадания влаги.","активные ингредиенты Полный состав Состав/INCI: Sodium Cocoyl Isethionate*, Cetearyl Alcohol*, Sodium Cocoyl Glutamate*, Oryza Sativa (Rice) Starch* (рисовая пудра), Butyrospermum Parkii Butter* (масло ши), Theobroma Cacao Seed Butter* (масло какао), Inulin* (пребиотик), Decyl Glucoside*, Stearic Acid*, Brassica oleracea Italica (Broccoli) Seed Oil* (масло брокколи), Crambe Abyssinica Seed Oil Phytosterol Esters* (фитостеролы абиссинской горчицы), Sorbitol*, Vitis vinifera Extract (экстракт шрота винограда), Rosa majalis Extract (экстракт шиповника), Glycerin*, Aqua*, Sodium Benzoate*, Citric Acid*, Panthenol* (провитамин В5), Tocopheryl Acetate* (витамин Е), Melia Azadirachta Flower Extract, Melia Azadirachta Seed Extract, Coccinia Indica Fruit Extract* (краситель на основе растительных экстрактов), Natural Fragrance*. * — ингредиенты, разрешенные для использования в натуральной косметике. ** — ингредиенты, сертифицированные/одобренные COSMOS.",,"описание продукта Мягко очищает, снимает макияж, восстанавливает микробиом. Поддерживает естественные защитный барьер кожи, увлажняет, смягчает и успокаивает кожу (благодаря пудре риса и пребиотику инулину в составе). При намыливании превращается в нежное молочко для умывания! Подходит для всех типов кожи, в том числе для чувствительной. Сочетается со всеми продуктами по типу кожи. Является универсальным средством. 1 брусок способен заменить 3 бутылочки жидкого средства объемом 100ml Твердые средства для умывания SMORODINA созданы на мягких ПАВах, с активными компонентами, которые мягко и бережно ухаживают за всеми типами кожи лица (в том числе чувствительной). Заботятся о микробиоме твоей кожи. Без сульфатов, искусственных отдушек и красителей. Внимание! Мы обновили дизайн наших твердых продуктов. Состав и аромат товара остался прежним. Срок годности: 24 месяца Срок годности после вскрытия: 18 месяцев"
https://smorodinacosmetic.com/catalog/body/selective-oils/massazhnaya-svecha-daniya-s-teplymi-notami-koritsy-i-kardamona-200-ml/,Массажная свеча «Дания» для счастья и уюта в стиле хюгге 50ml,690,"применение Зажгите свечу, подождите 5-10 минут, вылейте небольшое количество масла на ладонь и приступите к массажу. Температура расплавленного масла не опасна для кожи. Погасите хлопковый фитиль. При наливании растопленного масла рекомендуем плотно прижать баночку к ладони, чтобы оно не разлилось и не оставило следов на внешней стенке баночки. Массажную свечу можно использовать в качестве бальзама для ухода за кожей губ, рук и ног. Для этого не нужно зажигать свечу.  От тепла рук твердое масло подтаивает и его удобно наносить пальцами. Баночку в формате 40г удобно носить с собой, чтобы воспользоваться как бальзамом при любой необходимости. Противопоказания: индивидуальная непереносимость компонентов в составе. Условия хранения: вдали от прямых солнечных лучей при температуре от +5°С до +25°С.","активные ингредиенты Полный состав Соевый воск, воск кокоса, масло ши нерафинированное, масло сладкого миндаля, масло макадамии, эфирные масла розы,  сладкого апельсина, корицы, кардамона.","упаковка алюминий ALU 41 этикетка РР 05 Как подготовить алюминиевую тару к сдаче на переработку мал.банка Алюминиевая упаковка соответствует принципам устойчивого развития Reuse & Recycle: ее можно сдать на переработку, а также использовать повторно! Например, она может стать баночкой под украшения. Начни путь осознанного потребления со SMORODINA!","описание продукта Аромат: счастье и хюгге. Ноты: роза, апельсин, корица. Дания - одна из самых комфортных стран для жизни в мире. Датчане живут в стиле хюгге - ценят обычные удовольствия и умеют наслаждаться моментом.  Аромат благоприятно влияет на семейный микроклимат, пробуждает светлые чувства, создает атмосферу защищенности и комфорта. Идеальный выбор в ситуациях, когда хочется надеть шерстяные носочки и сварить чашечку какао. Все ароматы серии Aromatherapy созданы нами с любовью,из эфирных масел высокого качества и имеют ароматерапевтический эффект. Они дарят совершенно новые ощущения, помогают насладиться глубиной и атмосферой массажа! Выбирайте аромат по настроению. С помощью свечей массаж станет приятным ритуалом для вас и ваших близких. Время горения - до 15 часов. Срок годности: 24 месяца Срок годности после вскрытия: 12 месяцев"
